"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 11 15:52:04 BDT 2025","Tue Mar 11 15:52:11 BDT 2025","7146","","Sign in page","","UI validation","","UI validation",""
"passed","Tue Mar 11 18:48:33 BDT 2025","Tue Mar 11 18:48:41 BDT 2025","7436","","Sign in page","","UI validation","","UI validation",""
"failed","Tue Mar 11 18:48:41 BDT 2025","Tue Mar 11 18:48:48 BDT 2025","7313","","Sign in page","","Checkbox validation","","Checkbox validation",""
"broken","Wed Mar 12 22:53:19 BDT 2025","Wed Mar 12 22:54:01 BDT 2025","41735","","Sign in page","","Sign in with valid credentials","","Sign in with valid credentials",""
"broken","Sun Mar 09 00:36:06 BDT 2025","Sun Mar 09 00:36:07 BDT 2025","1486","","Sign Up page Validation","","UI Validation","","UI Validation",""
"skipped","Tue Mar 11 15:55:01 BDT 2025","Tue Mar 11 15:55:06 BDT 2025","4471","","Sign in page","","User should not be able to sign in with invalid credentials","","User should not be able to sign in with invalid credentials",""
"broken","Tue Mar 11 18:48:48 BDT 2025","Tue Mar 11 18:51:50 BDT 2025","182060","","Sign in page","","User should not be able to sign in with invalid credentials","","User should not be able to sign in with invalid credentials",""
"passed","Tue Mar 11 17:20:45 BDT 2025","Tue Mar 11 17:20:52 BDT 2025","6429","","Sign in page","","User should not be able to sign in with invalid credentials","","User should not be able to sign in with invalid credentials",""
"passed","Wed Mar 12 22:54:55 BDT 2025","Wed Mar 12 22:55:10 BDT 2025","14443","","Sign in page","","User should not be able to sign in with invalid credentials","","User should not be able to sign in with invalid credentials",""
"broken","Wed Mar 05 15:16:19 BDT 2025","Wed Mar 05 15:16:44 BDT 2025","25054","","Signin","","Sign in with invalid email","","Sign in with invalid email",""
"passed","Tue Mar 11 17:20:52 BDT 2025","Tue Mar 11 17:20:58 BDT 2025","6590","","Sign in page","","User should not be able to sign in with invalid credentials","","User should not be able to sign in with invalid credentials",""
"broken","Tue Mar 11 17:20:58 BDT 2025","Tue Mar 11 17:21:35 BDT 2025","36373","","Sign in page","","User should not be able to sign in with invalid credentials","","User should not be able to sign in with invalid credentials",""
"broken","Wed Mar 12 22:55:27 BDT 2025","Wed Mar 12 22:56:12 BDT 2025","45513","","Sign in page","","User should not be able to sign in with invalid credentials","","User should not be able to sign in with invalid credentials",""
"passed","Wed Mar 12 22:54:13 BDT 2025","Wed Mar 12 22:54:41 BDT 2025","27448","","Sign in page","","Checkbox validation","","Checkbox validation",""
"passed","Wed Mar 05 15:14:57 BDT 2025","Wed Mar 05 15:16:19 BDT 2025","81793","","Signin","","Sign in with valid credentials","","Sign in with valid credentials",""
"passed","Wed Mar 12 22:55:10 BDT 2025","Wed Mar 12 22:55:26 BDT 2025","16964","","Sign in page","","User should not be able to sign in with invalid credentials","","User should not be able to sign in with invalid credentials",""
"broken","Wed Mar 12 22:56:12 BDT 2025","Wed Mar 12 22:56:13 BDT 2025","1261","","Sign Up page Validation","","sign up page display","","sign up page display",""
"passed","Wed Mar 12 22:54:48 BDT 2025","Wed Mar 12 22:54:55 BDT 2025","6871","","Sign in page","","User should not be able to sign in with invalid credentials","","User should not be able to sign in with invalid credentials",""
"passed","Wed Mar 12 22:54:41 BDT 2025","Wed Mar 12 22:54:48 BDT 2025","7517","","Sign in page","","User should not be able to sign in with invalid credentials","","User should not be able to sign in with invalid credentials",""
"passed","Sun Mar 09 19:46:09 BDT 2025","Sun Mar 09 19:51:21 BDT 2025","311805","","Sign in page","","UI validation","","UI validation",""
"passed","Tue Mar 11 18:08:02 BDT 2025","Tue Mar 11 18:08:09 BDT 2025","6761","","Sign in page","","User should not be able to sign in with invalid credentials","","User should not be able to sign in with invalid credentials",""
"passed","Tue Mar 11 15:55:06 BDT 2025","Tue Mar 11 15:55:11 BDT 2025","5726","","Sign in page","","User should not be able to sign in with invalid credentials","","User should not be able to sign in with invalid credentials",""
"passed","Wed Mar 12 22:54:01 BDT 2025","Wed Mar 12 22:54:13 BDT 2025","12336","","Sign in page","","UI validation","","UI validation",""
"passed","Sun Mar 09 19:51:21 BDT 2025","Sun Mar 09 19:51:45 BDT 2025","24458","","Sign in page","","User should not be able to sign in with invalid credentials","","User should not be able to sign in with invalid credentials",""
"broken","Sun Mar 09 19:39:51 BDT 2025","Sun Mar 09 19:46:09 BDT 2025","378247","","Sign in page","","Sign in with invalid email","","Sign in with invalid email",""
